rds_id,rds_name,rds_short_id,rds_status,rds_sfdc_id,rds_address,rds_city,rds_state,rds_idv_enabled,rds_created,sf_record_id,sf_name,sf_short_id,sf_status,snappt_property_id_c,sf_property_id_c,sf_address,sf_city,sf_state,sf_idv_enabled,sf_fraud_enabled,sf_income_enabled,sf_bank_enabled,sf_created,sf_modified,name_match_status,sfdc_id_match_status
a3d84216-958a-4853-bfc5-7596faafeeda,The Ian,pNc0deqtYq,ACTIVE,a01Dn00000HHPnlIAH,2249 Woodland Grove Place,Herndon,VA,true,2025-11-19T00:03:16.000Z,a13UL00000hCtPlYAK,The Ian,pNc0deqtYq,ACTIVE,a3d84216-958a-4853-bfc5-7596faafeeda,a01Dn00000HHPnlIAH,2249 Woodland Grove Place,Herndon,,false,false,false,false,2025-11-19T14:21:20.000Z,2026-01-05T10:04:07.000Z,Exact Match,SFDC ID Match
176a9bd5-6bb1-4159-940d-428603039de8,Griffin Weston,NcKx1N5ESo,ACTIVE,a01Dn00000HHiiYIAT,110 Singh Lane,Cary,NC,true,2025-11-18T20:34:04.000Z,a13UL00000h3SjvYAE,Griffin Weston,NcKx1N5ESo,DISABLED,176a9bd5-6bb1-4159-940d-428603039de8,a01Dn00000HHiiYIAT,110 Singh Lane,Cary,,false,false,false,false,2025-11-18T21:21:59.000Z,2025-11-20T19:55:56.000Z,Exact Match,SFDC ID Match
176a9bd5-6bb1-4159-940d-428603039de8,Griffin Weston,NcKx1N5ESo,ACTIVE,a01Dn00000HHiiYIAT,110 Singh Lane,Cary,NC,true,2025-11-18T20:34:04.000Z,a13UL00000h3p0BYAQ,Griffin Weston,NcKx1N5ESo,DISABLED,176a9bd5-6bb1-4159-940d-428603039de8,a01Dn00000HHiiYIAT,110 Singh Lane,Cary,,false,false,false,false,2025-11-18T22:09:20.000Z,2025-11-20T19:56:45.000Z,Exact Match,SFDC ID Match
b5e6de48-fc17-4424-ac81-f1314c528a1a,Oaklyn,ostyoTebmD,ACTIVE,a01Dn00000LgWAZIA3,3333 North Federal Highway,Oakland Park,FL,true,2025-11-18T18:33:29.000Z,a13UL00000h3cFWYAY,Oaklyn,ostyoTebmD,ACTIVE,b5e6de48-fc17-4424-ac81-f1314c528a1a,a01Dn00000LgWAZIA3,3333 North Federal Highway,Oakland Park,,false,false,false,false,2025-11-18T22:09:47.000Z,2026-01-05T10:04:00.000Z,Exact Match,SFDC ID Match
ad507fc5-b23f-416f-aff3-8f033dd12324,The Overlook at the Rim,JSXjwIyZl6,ACTIVE,a01Dn00000HItuUIAT,19035 Talavera Ridge,San Antonio,TX,true,2025-11-18T15:04:25.000Z,a13UL00000h3Si5YAE,The Overlook at the Rim,JSXjwIyZl6,ACTIVE,ad507fc5-b23f-416f-aff3-8f033dd12324,a01Dn00000HItuUIAT,19035 Talavera Ridge,San Antonio,TX,true,true,true,true,2025-11-18T21:21:59.000Z,2025-11-24T17:51:53.000Z,Exact Match,SFDC ID Match
cdce047d-2f3e-444c-88c5-fe7ea354b6e1,Boardwalk Research,MpfWvo4kaZ,ACTIVE,a01Dn00000HHezcIAD,5503 Research Drive,San Antonio,TX,true,2025-11-18T00:49:59.000Z,a13UL00000gxpueYAA,Boardwalk Research,MpfWvo4kaZ,ACTIVE,cdce047d-2f3e-444c-88c5-fe7ea354b6e1,a01Dn00000HHezcIAD,5503 Research Drive,San Antonio,TX,true,true,true,false,2025-11-18T14:21:25.000Z,2026-01-05T10:04:10.000Z,Exact Match,SFDC ID Match
6e07c8d5-5b4e-4372-a9fc-4ed31014d6e5,The Henry at Harms Woods,3nQuARL0vd,ACTIVE,a01Dn00000HJHlvIAH,5424 Old Orchard Road,Skokie,IL,true,2025-11-17T23:02:21.000Z,a13UL00000gxpufYAA,The Henry at Harms Woods,3nQuARL0vd,ACTIVE,6e07c8d5-5b4e-4372-a9fc-4ed31014d6e5,a01Dn00000HJHlvIAH,5424 Old Orchard Road,Skokie,IL,true,true,true,true,2025-11-18T14:21:25.000Z,2026-01-05T10:04:05.000Z,Exact Match,SFDC ID Match
113bea33-dc10-464d-b1f3-a25ecb309909,Agora Stone Oak,Vnz9Mogpjv,ACTIVE,a01Dn00000HHdwjIAD,1207 Agora Palms Drive,San Antonio,TX,true,2025-11-17T23:00:49.000Z,a13UL00000gxpuhYAA,Agora Stone Oak,Vnz9Mogpjv,ACTIVE,113bea33-dc10-464d-b1f3-a25ecb309909,a01Dn00000HHdwjIAD,1207 Agora Palms Drive,San Antonio,,false,true,true,true,2025-11-18T14:21:25.000Z,2026-01-05T10:04:02.000Z,Exact Match,SFDC ID Match
a4a54f78-017f-442c-89ad-b953f6d6d109,Harlowe - TX,KAaaj1YxnV,ACTIVE,a01Dn00000HHOkWIAX,2525 Texas 360,Euless,TX,true,2025-11-17T22:58:26.000Z,a13UL00000h3TAiYAM,Harlowe - TX,KAaaj1YxnV,ACTIVE,a4a54f78-017f-442c-89ad-b953f6d6d109,a01Dn00000HHOkWIAX,2525 Texas 360,Euless,,false,true,true,true,2025-11-18T21:22:40.000Z,2026-01-05T10:03:59.000Z,Exact Match,SFDC ID Match
53a5f6d8-d5d2-4bcb-bf38-2d3c8ad7d14b,Parkstone at Knightdale,1PEvb2PM8X,ACTIVE,a01Dn00000HHV6MIAX,1001 Park Commons Drive,Knightdale,NC,true,2025-11-17T22:54:31.000Z,a13UL00000gxpugYAA,Parkstone at Knightdale,1PEvb2PM8X,ACTIVE,53a5f6d8-d5d2-4bcb-bf38-2d3c8ad7d14b,a01Dn00000HHV6MIAX,1001 Park Commons Drive,Knightdale,,false,false,false,false,2025-11-18T14:21:25.000Z,2025-11-18T22:08:05.000Z,Exact Match,SFDC ID Match
